StyleCode,Variant1_Option_Code,Variant2_Option_Code,Variant3_Option_Code,Variant4_Option_Code,Variant5_Option_Code,USD_Price
AB00350,18,16,190M,,,615
AB00350,18,23,190M,,,605
AB00350,18,LG,190M,,,520
AB00350,PLAT,MT,190M,,,510
AB00350,PLAT,12,190M,,,690
AB00350,PLAT,13,190M,,,675
AB00350,PLAT,14,190M,,,665
AB00350,PLAT,15,190M,,,660
AB00350,PLAT,16,190M,,,645
AB00350,PLAT,23,190M,,,635
AB00350,PLAT,LG,190M,,,555
AB00350,09,MT,240M,,,205
AB00350,09,12,240M,,,530
AB00350,09,13,240M,,,505
AB00350,09,14,240M,,,480
AB00350,09,15,240M,,,475
AB00350,09,16,240M,,,455
AB00350,09,23,240M,,,445
AB00350,09,LG,240M,,,265
AB00350,14,MT,240M,,,375
AB00350,14,12,240M,,,700
AB00350,14,13,240M,,,670
AB00350,14,14,240M,,,650
AB00350,14,15,240M,,,640
AB00350,14,16,240M,,,620
AB00350,14,23,240M,,,615
AB00350,14,LG,240M,,,430
AB00350,18,MT,240M,,,545
AB00350,18,12,240M,,,870
AB00350,18,13,240M,,,840
AB00350,18,14,240M,,,820
AB00350,18,15,240M,,,810
AB00350,18,16,240M,,,790
AB00350,18,23,240M,,,785
AB00350,18,LG,240M,,,600
AB00350,PLAT,MT,240M,,,585
AB00350,PLAT,12,240M,,,910
AB00350,PLAT,13,240M,,,880
AB00350,PLAT,14,240M,,,860
AB00350,PLAT,15,240M,,,850
AB00350,PLAT,16,240M,,,830
AB00350,PLAT,23,240M,,,825
AB00350,PLAT,LG,240M,,,640
AB00350,09,MT,270M,,,240
AB00350,09,12,270M,,,715
AB00350,09,13,270M,,,690
AB00350,09,14,270M,,,645
AB00350,09,15,270M,,,630
AB00350,09,16,270M,,,590
AB00350,09,23,270M,,,590
AB00350,09,LG,270M,,,315
AB00350,14,MT,270M,,,435
AB00350,14,12,270M,,,910
AB00350,14,13,270M,,,885
AB00350,14,14,270M,,,840
AB00350,14,15,270M,,,830
AB00350,14,16,270M,,,785
AB00350,14,23,270M,,,785
AB00350,14,LG,270M,,,510
AB00350,18,MT,270M,,,630
AB00350,18,12,270M,,,1110
AB00350,18,13,270M,,,1085
AB00350,18,14,270M,,,1035
AB00350,18,15,270M,,,1025
AB00350,18,16,270M,,,985
AB00350,18,23,270M,,,985
AB00350,18,LG,270M,,,710
AB00350,PLAT,MT,270M,,,680
AB00350,PLAT,12,270M,,,1155
AB00350,PLAT,13,270M,,,1130
AB00350,PLAT,14,270M,,,1085
AB00350,PLAT,15,270M,,,1070
AB00350,PLAT,16,270M,,,1030
AB00350,PLAT,23,270M,,,1030
AB00350,PLAT,LG,270M,,,755
AB00450,09,MT,140M,,,155
AB00450,09,12,140M,,,250
AB00450,09,13,140M,,,240
AB00450,09,14,140M,,,235
AB00450,09,15,140M,,,230
AB00450,09,16,140M,,,225
AB00450,09,23,140M,,,225
AB00450,09,LG,140M,,,195
AB00450,14,MT,140M,,,270
AB00450,14,12,140M,,,365
AB00450,14,13,140M,,,355
AB00450,14,14,140M,,,350
AB00450,14,15,140M,,,345
AB00450,14,16,140M,,,340
AB00450,14,23,140M,,,340
AB00450,14,LG,140M,,,310
AB00450,18,MT,140M,,,390
AB00450,18,12,140M,,,485
AB00450,18,13,140M,,,475
AB00450,18,14,140M,,,470
AB00450,18,15,140M,,,465
AB00450,18,16,140M,,,460
AB00450,18,23,140M,,,460
AB00450,18,LG,140M,,,430
AB00450,PLAT,MT,140M,,,415
AB00450,PLAT,12,140M,,,510
AB00450,PLAT,13,140M,,,505
AB00450,PLAT,14,140M,,,495
AB00450,PLAT,15,140M,,,495
AB00450,PLAT,16,140M,,,490
AB00450,PLAT,23,140M,,,490
AB00450,PLAT,LG,140M,,,460
AB00450,09,MT,190M,,,195
AB00450,09,12,190M,,,375
AB00450,09,13,190M,,,360
AB00450,09,14,190M,,,350
AB00450,09,15,190M,,,345
AB00450,09,16,190M,,,335
AB00450,09,23,190M,,,325
AB00450,09,LG,190M,,,240
AB00450,14,MT,190M,,,350
AB00450,14,12,190M,,,535
AB00450,14,13,190M,,,515
AB00450,14,14,190M,,,505
AB00450,14,15,190M,,,500
AB00450,14,16,190M,,,490
AB00450,14,23,190M,,,480
AB00450,14,LG,190M,,,395
AB00450,18,MT,190M,,,510
AB00450,18,12,190M,,,690
AB00450,18,13,190M,,,675
AB00450,18,14,190M,,,665
AB00450,18,15,190M,,,660
AB00450,18,16,190M,,,645
AB00450,18,23,190M,,,635
AB00450,18,LG,190M,,,555
AB00450,PLAT,MT,190M,,,545
AB00450,PLAT,12,190M,,,730
AB00450,PLAT,13,190M,,,715
AB00450,PLAT,14,190M,,,700
AB00450,PLAT,15,190M,,,695
AB00450,PLAT,16,190M,,,685
AB00450,PLAT,23,190M,,,675
AB00450,PLAT,LG,190M,,,595
AB00450,09,MT,240M,,,220
AB00450,09,12,240M,,,545
AB00450,09,13,240M,,,515
AB00450,09,14,240M,,,495
AB00450,09,15,240M,,,485
AB00450,09,16,240M,,,465
AB00450,09,23,240M,,,460
AB00450,09,LG,240M,,,275
AB00450,14,MT,240M,,,400
AB00450,14,12,240M,,,725
AB00450,14,13,240M,,,695
AB00450,14,14,240M,,,675
AB00450,14,15,240M,,,665
AB00450,14,16,240M,,,645
AB00450,14,23,240M,,,635
AB00450,14,LG,240M,,,455
AB00450,18,MT,240M,,,580
AB00450,18,12,240M,,,905
AB00450,18,13,240M,,,875
AB00450,18,14,240M,,,855
AB00450,18,15,240M,,,845
AB00450,18,16,240M,,,825
AB00450,18,23,240M,,,820
AB00450,18,LG,240M,,,635
AB00450,PLAT,MT,240M,,,620
AB00450,PLAT,12,240M,,,945
AB00450,PLAT,13,240M,,,915
AB00450,PLAT,14,240M,,,895
AB00450,PLAT,15,240M,,,890
AB00450,PLAT,16,240M,,,865
AB00450,PLAT,23,240M,,,860
AB00450,PLAT,LG,240M,,,680
AB00450,09,MT,270M,,,250
AB00450,09,12,270M,,,730
AB00450,09,13,270M,,,700
AB00450,09,14,270M,,,655
AB00450,09,15,270M,,,645
AB00450,09,16,270M,,,605
AB00450,09,23,270M,,,605
AB00450,09,LG,270M,,,325
AB00450,14,MT,270M,,,455
AB00450,14,12,270M,,,935
AB00450,14,13,270M,,,910
AB00450,14,14,270M,,,860
AB00450,14,15,270M,,,850
AB00450,14,16,270M,,,810
AB00450,14,23,270M,,,810
AB00450,14,LG,270M,,,535
AB00450,18,MT,270M,,,665
AB00450,18,12,270M,,,1145
AB00450,18,13,270M,,,1115
AB00450,18,14,270M,,,1070
AB00450,18,15,270M,,,1060
AB00450,18,16,270M,,,1020
AB00450,18,23,270M,,,1020
AB00450,18,LG,270M,,,745
AB00450,PLAT,MT,270M,,,715
AB00450,PLAT,12,270M,,,1195
AB00450,PLAT,13,270M,,,1165
AB00450,PLAT,14,270M,,,1120
AB00450,PLAT,15,270M,,,1110
AB00450,PLAT,16,270M,,,1070
AB00450,PLAT,23,270M,,,1070
AB00450,PLAT,LG,270M,,,790
AB00550,09,MT,140M,,,135
AB00550,09,12,140M,,,230
AB00550,09,13,140M,,,220
AB00550,09,14,140M,,,215
AB00550,09,15,140M,,,210
AB00550,09,16,140M,,,205
