Variant_Type,Option,Price_Group,Caption1,Caption2,Option_Group
CTTW,2100,2100,21.00 cttw,21.00 cttw,
CTTW,2200,2200,22.00 cttw,22.00 cttw,
CTTW,2300,2300,23.00 cttw,23.00 cttw,
CTTW,2400,2400,24.00 cttw,24.00 cttw,
CTTW,2500,2500,25.00 cttw,25.00 cttw,
CTTW,2600,2600,26.00 cttw,26.00 cttw,
CTTW,2700,2700,27.00 cttw,27.00 cttw,
CTTW,2800,2800,28.00 cttw,28.00 cttw,
CTTW,2900,2900,29.00 cttw,29.00 cttw,
CTTW,3000,3000,30.00 cttw,30.00 cttw,
CTTW,3100,3100,31.00 cttw,31.00 cttw,
CTTW,3200,3200,32.00 cttw,32.00 cttw,
CTTW,3300,3300,33.00 cttw,33.00 cttw,
CTTW,3400,3400,34.00 cttw,34.00 cttw,
CTTW,3500,3500,35.00 cttw,35.00 cttw,
CTTW,3600,3600,36.00 cttw,36.00 cttw,
CTTW,3700,3700,37.00 cttw,37.00 cttw,
CTTW,3800,3800,38.00 cttw,38.00 cttw,
CTTW,3900,3900,39.00 cttw,39.00 cttw,
CTTW,4000,4000,40.00 cttw,40.00 cttw,
