StyleCode,VariantCode,Shape,Setting,StoneCount,StoneSize,Metal,Quality,Price
WBRDFP,WBRDFP-140M07,Round,French Pave,7 Stone,1.4 mm,14,E-F / VS  (Lab Grown),400.00
WBRDFP,WBRDFP-140M07,Round,French Pave,7 Stone,1.4 mm,18,F-G / VS (Mined),580.00
WBRDFP,WBRDFP-140M07,Round,French Pave,7 Stone,1.4 mm,18,G-H / SI (Mined),565.00
WBRDFP,WBRDFP-140M07,Round,French Pave,7 Stone,1.4 mm,18,E-F / VS  (Lab Grown),550.00
WBRDFP,WBRDFP-140M07,Round,French Pave,7 Stone,1.4 mm,PLAT,F-G / VS (Mined),565.00
WBRDFP,WBRDFP-140M07,Round,French Pave,7 Stone,1.4 mm,PLAT,G-H / SI (Mined),550.00
WBRDFP,WBRDFP-140M07,Round,French Pave,7 Stone,1.4 mm,PLAT,E-F / VS  (Lab Grown),540.00
WBRDFP,WBRDFP-190M07,Round,French Pave,7 Stone,1.9 mm,10,F-G / VS (Mined),405.00
WBRDFP,WBRDFP-190M07,Round,French Pave,7 Stone,1.9 mm,10,G-H / SI (Mined),375.00
WBRDFP,WBRDFP-190M07,Round,French Pave,7 Stone,1.9 mm,10,E-F / VS  (Lab Grown),320.00
WBRDFP,WBRDFP-190M07,Round,French Pave,7 Stone,1.9 mm,14,F-G / VS (Mined),590.00
WBRDFP,WBRDFP-190M07,Round,French Pave,7 Stone,1.9 mm,14,G-H / SI (Mined),555.00
WBRDFP,WBRDFP-190M07,Round,French Pave,7 Stone,1.9 mm,14,E-F / VS  (Lab Grown),505.00
WBRDFP,WBRDFP-190M07,Round,French Pave,7 Stone,1.9 mm,18,F-G / VS (Mined),785.00
WBRDFP,WBRDFP-190M07,Round,French Pave,7 Stone,1.9 mm,18,G-H / SI (Mined),750.00
WBRDFP,WBRDFP-190M07,Round,French Pave,7 Stone,1.9 mm,18,E-F / VS  (Lab Grown),700.00
WBRDFP,WBRDFP-190M07,Round,French Pave,7 Stone,1.9 mm,PLAT,F-G / VS (Mined),770.00
WBRDFP,WBRDFP-190M07,Round,French Pave,7 Stone,1.9 mm,PLAT,G-H / SI (Mined),735.00
WBRDFP,WBRDFP-190M07,Round,French Pave,7 Stone,1.9 mm,PLAT,E-F / VS  (Lab Grown),685.00
WBRDFP,WBRDFP-240M07,Round,French Pave,7 Stone,2.4 mm,10,F-G / VS (Mined),625.00
WBRDFP,WBRDFP-240M07,Round,French Pave,7 Stone,2.4 mm,10,G-H / SI (Mined),555.00
WBRDFP,WBRDFP-240M07,Round,French Pave,7 Stone,2.4 mm,10,E-F / VS  (Lab Grown),400.00
WBRDFP,WBRDFP-240M07,Round,French Pave,7 Stone,2.4 mm,14,F-G / VS (Mined),855.00
WBRDFP,WBRDFP-240M07,Round,French Pave,7 Stone,2.4 mm,14,G-H / SI (Mined),785.00
WBRDFP,WBRDFP-240M07,Round,French Pave,7 Stone,2.4 mm,14,E-F / VS  (Lab Grown),630.00
WBRDFP,WBRDFP-240M07,Round,French Pave,7 Stone,2.4 mm,18,F-G / VS (Mined),1100.00
WBRDFP,WBRDFP-240M07,Round,French Pave,7 Stone,2.4 mm,18,G-H / SI (Mined),1025.00
WBRDFP,WBRDFP-240M07,Round,French Pave,7 Stone,2.4 mm,18,E-F / VS  (Lab Grown),875.00
WBRDFP,WBRDFP-240M07,Round,French Pave,7 Stone,2.4 mm,PLAT,F-G / VS (Mined),1075.00
WBRDFP,WBRDFP-240M07,Round,French Pave,7 Stone,2.4 mm,PLAT,G-H / SI (Mined),1005.00
WBRDFP,WBRDFP-240M07,Round,French Pave,7 Stone,2.4 mm,PLAT,E-F / VS  (Lab Grown),855.00
WBRDFP,WBRDFP-270M07,Round,French Pave,7 Stone,2.7 mm,10,F-G / VS (Mined),795.00
WBRDFP,WBRDFP-270M07,Round,French Pave,7 Stone,2.7 mm,10,G-H / SI (Mined),690.00
WBRDFP,WBRDFP-270M07,Round,French Pave,7 Stone,2.7 mm,10,E-F / VS  (Lab Grown),465.00
WBRDFP,WBRDFP-270M07,Round,French Pave,7 Stone,2.7 mm,14,F-G / VS (Mined),1055.00
WBRDFP,WBRDFP-270M07,Round,French Pave,7 Stone,2.7 mm,14,G-H / SI (Mined),955.00
