DesignNumber,Type,Thumbnail_Folder,Image_Folder,SubType,PrimaryShape,PrimarySetting,AccentShape,AccentSetting,Texture,Halo,ShankStudded,ShankType
BR04000030,Bracelet,https://mwljewels.s3.dualstack.us-east-2.amazonaws.com/images_400px/BR04000030/,https://mwljewels.s3.dualstack.us-east-2.amazonaws.com/images_1000px/BR04000030/,,,,,,,,,
BR04000031,Bracelet,https://mwljewels.s3.dualstack.us-east-2.amazonaws.com/images_400px/BR04000031/,https://mwljewels.s3.dualstack.us-east-2.amazonaws.com/images_1000px/BR04000031/,,,,,,,,,
BR04000032,Bracelet,https://mwljewels.s3.dualstack.us-east-2.amazonaws.com/images_400px/BR04000032/,https://mwljewels.s3.dualstack.us-east-2.amazonaws.com/images_1000px/BR04000032/,,,,,,,,,
BR04000033,Bracelet,https://mwljewels.s3.dualstack.us-east-2.amazonaws.com/images_400px/BR04000033/,https://mwljewels.s3.dualstack.us-east-2.amazonaws.com/images_1000px/BR04000033/,,,,,,,,,
BR04000034,Bracelet,https://mwljewels.s3.dualstack.us-east-2.amazonaws.com/images_400px/BR04000034/,https://mwljewels.s3.dualstack.us-east-2.amazonaws.com/images_1000px/BR04000034/,,,,,,,,,
BR04000035,Bracelet,https://mwljewels.s3.dualstack.us-east-2.amazonaws.com/images_400px/BR04000035/,https://mwljewels.s3.dualstack.us-east-2.amazonaws.com/images_1000px/BR04000035/,,,,,,,,,
BR04000036,Bracelet,https://mwljewels.s3.dualstack.us-east-2.amazonaws.com/images_400px/BR04000036/,https://mwljewels.s3.dualstack.us-east-2.amazonaws.com/images_1000px/BR04000036/,,,,,,,,,
BR04000037,Bracelet,https://mwljewels.s3.dualstack.us-east-2.amazonaws.com/images_400px/BR04000037/,https://mwljewels.s3.dualstack.us-east-2.amazonaws.com/images_1000px/BR04000037/,,,,,,,,,
BR04000038,Bracelet,https://mwljewels.s3.dualstack.us-east-2.amazonaws.com/images_400px/BR04000038/,https://mwljewels.s3.dualstack.us-east-2.amazonaws.com/images_1000px/BR04000038/,,,,,,,,,
BR04000039,Bracelet,https://mwljewels.s3.dualstack.us-east-2.amazonaws.com/images_400px/BR04000039/,https://mwljewels.s3.dualstack.us-east-2.amazonaws.com/images_1000px/BR04000039/,,,,,,,,,
BR04000040,Bracelet,https://mwljewels.s3.dualstack.us-east-2.amazonaws.com/images_400px/BR04000040/,https://mwljewels.s3.dualstack.us-east-2.amazonaws.com/images_1000px/BR04000040/,,,,,,,,,
BR04000041,Bracelet,https://mwljewels.s3.dualstack.us-east-2.amazonaws.com/images_400px/BR04000041/,https://mwljewels.s3.dualstack.us-east-2.amazonaws.com/images_1000px/BR04000041/,,,,,,,,,
BR04000042,Bracelet,https://mwljewels.s3.dualstack.us-east-2.amazonaws.com/images_400px/BR04000042/,https://mwljewels.s3.dualstack.us-east-2.amazonaws.com/images_1000px/BR04000042/,,,,,,,,,
BR04000043,Bracelet,https://mwljewels.s3.dualstack.us-east-2.amazonaws.com/images_400px/BR04000043/,https://mwljewels.s3.dualstack.us-east-2.amazonaws.com/images_1000px/BR04000043/,,,,,,,,,
BR04000044,Bracelet,https://mwljewels.s3.dualstack.us-east-2.amazonaws.com/images_400px/BR04000044/,https://mwljewels.s3.dualstack.us-east-2.amazonaws.com/images_1000px/BR04000044/,,,,,,,,,
BR04000045,Bracelet,https://mwljewels.s3.dualstack.us-east-2.amazonaws.com/images_400px/BR04000045/,https://mwljewels.s3.dualstack.us-east-2.amazonaws.com/images_1000px/BR04000045/,,,,,,,,,
BR04000046,Bracelet,https://mwljewels.s3.dualstack.us-east-2.amazonaws.com/images_400px/BR04000046/,https://mwljewels.s3.dualstack.us-east-2.amazonaws.com/images_1000px/BR04000046/,,,,,,,,,
BR04000047,Bracelet,https://mwljewels.s3.dualstack.us-east-2.amazonaws.com/images_400px/BR04000047/,https://mwljewels.s3.dualstack.us-east-2.amazonaws.com/images_1000px/BR04000047/,,,,,,,,,
BR04000048,Bracelet,https://mwljewels.s3.dualstack.us-east-2.amazonaws.com/images_400px/BR04000048/,https://mwljewels.s3.dualstack.us-east-2.amazonaws.com/images_1000px/BR04000048/,,,,,,,,,
BR04000052,Bracelet,https://mwljewels.s3.dualstack.us-east-2.amazonaws.com/images_400px/BR04000052/,https://mwljewels.s3.dualstack.us-east-2.amazonaws.com/images_1000px/BR04000052/,,,,,,,,,
BR04000053,Bracelet,https://mwljewels.s3.dualstack.us-east-2.amazonaws.com/images_400px/BR04000053/,https://mwljewels.s3.dualstack.us-east-2.amazonaws.com/images_1000px/BR04000053/,,,,,,,,,
BR04000128,Bracelet,https://mwljewels.s3.dualstack.us-east-2.amazonaws.com/images_400px/BR04000128/,https://mwljewels.s3.dualstack.us-east-2.amazonaws.com/images_1000px/BR04000128/,,,,,,,,,
BR04000129,Bracelet,https://mwljewels.s3.dualstack.us-east-2.amazonaws.com/images_400px/BR04000129/,https://mwljewels.s3.dualstack.us-east-2.amazonaws.com/images_1000px/BR04000129/,,,,,,,,,
BR04000137,Bracelet,https://mwljewels.s3.dualstack.us-east-2.amazonaws.com/images_400px/BR04000137/,https://mwljewels.s3.dualstack.us-east-2.amazonaws.com/images_1000px/BR04000137/,,,,,,,,,
BR04000138,Bracelet,https://mwljewels.s3.dualstack.us-east-2.amazonaws.com/images_400px/BR04000138/,https://mwljewels.s3.dualstack.us-east-2.amazonaws.com/images_1000px/BR04000138/,,,,,,,,,
BR04000263,Bracelet,https://mwljewels.s3.dualstack.us-east-2.amazonaws.com/images_400px/BR04000263/,https://mwljewels.s3.dualstack.us-east-2.amazonaws.com/images_1000px/BR04000263/,,,,,,,,,
BR04000407,Bracelet,https://mwljewels.s3.dualstack.us-east-2.amazonaws.com/images_400px/BR04000407/,https://mwljewels.s3.dualstack.us-east-2.amazonaws.com/images_1000px/BR04000407/,,,,,,,,,
BR04045776,Bracelet,https://mwljewels.s3.dualstack.us-east-2.amazonaws.com/images_400px/BR04045776/,https://mwljewels.s3.dualstack.us-east-2.amazonaws.com/images_1000px/BR04045776/,,,,,,,,,
BR04050101,Bracelet,https://mwljewels.s3.dualstack.us-east-2.amazonaws.com/images_400px/BR04050101/,https://mwljewels.s3.dualstack.us-east-2.amazonaws.com/images_1000px/BR04050101/,,,,,,,,,
BR04095006,Bracelet,https://mwljewels.s3.dualstack.us-east-2.amazonaws.com/images_400px/BR04095006/,https://mwljewels.s3.dualstack.us-east-2.amazonaws.com/images_1000px/BR04095006/,,,,,,,,,
BR04095080,Bracelet,https://mwljewels.s3.dualstack.us-east-2.amazonaws.com/images_400px/BR04095080/,https://mwljewels.s3.dualstack.us-east-2.amazonaws.com/images_1000px/BR04095080/,,,,,,,,,
BR06010001,Bracelet,https://mwljewels.s3.dualstack.us-east-2.amazonaws.com/images_400px/BR06010001/,https://mwljewels.s3.dualstack.us-east-2.amazonaws.com/images_1000px/BR06010001/,,,,,,,,,
BR06010002,Bracelet,https://mwljewels.s3.dualstack.us-east-2.amazonaws.com/images_400px/BR06010002/,https://mwljewels.s3.dualstack.us-east-2.amazonaws.com/images_1000px/BR06010002/,,,,,,,,,
BR06010003,Bracelet,https://mwljewels.s3.dualstack.us-east-2.amazonaws.com/images_400px/BR06010003/,https://mwljewels.s3.dualstack.us-east-2.amazonaws.com/images_1000px/BR06010003/,,,,,,,,,
BR06010004,Bracelet,https://mwljewels.s3.dualstack.us-east-2.amazonaws.com/images_400px/BR06010004/,https://mwljewels.s3.dualstack.us-east-2.amazonaws.com/images_1000px/BR06010004/,,,,,,,,,
BR27000761,Bracelet,https://mwljewels.s3.dualstack.us-east-2.amazonaws.com/images_400px/BR27000761/,https://mwljewels.s3.dualstack.us-east-2.amazonaws.com/images_1000px/BR27000761/,,,,,,,,,
BR27000763,Bracelet,https://mwljewels.s3.dualstack.us-east-2.amazonaws.com/images_400px/BR27000763/,https://mwljewels.s3.dualstack.us-east-2.amazonaws.com/images_1000px/BR27000763/,,,,,,,,,
BR270758AS,Bracelet,https://mwljewels.s3.dualstack.us-east-2.amazonaws.com/images_400px/BR270758AS/,https://mwljewels.s3.dualstack.us-east-2.amazonaws.com/images_1000px/BR270758AS/,,,,,,,,,
BR270758CU,Bracelet,https://mwljewels.s3.dualstack.us-east-2.amazonaws.com/images_400px/BR270758CU/,https://mwljewels.s3.dualstack.us-east-2.amazonaws.com/images_1000px/BR270758CU/,,,,,,,,,
BR270758EM,Bracelet,https://mwljewels.s3.dualstack.us-east-2.amazonaws.com/images_400px/BR270758EM/,https://mwljewels.s3.dualstack.us-east-2.amazonaws.com/images_1000px/BR270758EM/,,,,,,,,,
BR270758HT,Bracelet,https://mwljewels.s3.dualstack.us-east-2.amazonaws.com/images_400px/BR270758HT/,https://mwljewels.s3.dualstack.us-east-2.amazonaws.com/images_1000px/BR270758HT/,,,,,,,,,
BR270758MQ,Bracelet,https://mwljewels.s3.dualstack.us-east-2.amazonaws.com/images_400px/BR270758MQ/,https://mwljewels.s3.dualstack.us-east-2.amazonaws.com/images_1000px/BR270758MQ/,,,,,,,,,
BR270758PE,Bracelet,https://mwljewels.s3.dualstack.us-east-2.amazonaws.com/images_400px/BR270758PE/,https://mwljewels.s3.dualstack.us-east-2.amazonaws.com/images_1000px/BR270758PE/,,,,,,,,,
BR270758PR,Bracelet,https://mwljewels.s3.dualstack.us-east-2.amazonaws.com/images_400px/BR270758PR/,https://mwljewels.s3.dualstack.us-east-2.amazonaws.com/images_1000px/BR270758PR/,,,,,,,,,
BR270758RA,Bracelet,https://mwljewels.s3.dualstack.us-east-2.amazonaws.com/images_400px/BR270758RA/,https://mwljewels.s3.dualstack.us-east-2.amazonaws.com/images_1000px/BR270758RA/,,,,,,,,,
BR270764AS,Bracelet,https://mwljewels.s3.dualstack.us-east-2.amazonaws.com/images_400px/BR270764AS/,https://mwljewels.s3.dualstack.us-east-2.amazonaws.com/images_1000px/BR270764AS/,,,,,,,,,
BR270764CU,Bracelet,https://mwljewels.s3.dualstack.us-east-2.amazonaws.com/images_400px/BR270764CU/,https://mwljewels.s3.dualstack.us-east-2.amazonaws.com/images_1000px/BR270764CU/,,,,,,,,,
BR270764HT,Bracelet,https://mwljewels.s3.dualstack.us-east-2.amazonaws.com/images_400px/BR270764HT/,https://mwljewels.s3.dualstack.us-east-2.amazonaws.com/images_1000px/BR270764HT/,,,,,,,,,
BR270764MQ,Bracelet,https://mwljewels.s3.dualstack.us-east-2.amazonaws.com/images_400px/BR270764MQ/,https://mwljewels.s3.dualstack.us-east-2.amazonaws.com/images_1000px/BR270764MQ/,,,,,,,,,
BR270764PR,Bracelet,https://mwljewels.s3.dualstack.us-east-2.amazonaws.com/images_400px/BR270764PR/,https://mwljewels.s3.dualstack.us-east-2.amazonaws.com/images_1000px/BR270764PR/,,,,,,,,,
BR270764PS,Bracelet,https://mwljewels.s3.dualstack.us-east-2.amazonaws.com/images_400px/BR270764PS/,https://mwljewels.s3.dualstack.us-east-2.amazonaws.com/images_1000px/BR270764PS/,,,,,,,,,
BR270764RA,Bracelet,https://mwljewels.s3.dualstack.us-east-2.amazonaws.com/images_400px/BR270764RA/,https://mwljewels.s3.dualstack.us-east-2.amazonaws.com/images_1000px/BR270764RA/,,,,,,,,,
BR31000001,Bracelet,https://mwljewels.s3.dualstack.us-east-2.amazonaws.com/images_400px/BR31000001/,https://mwljewels.s3.dualstack.us-east-2.amazonaws.com/images_1000px/BR31000001/,,,,,,,,,
BR31000002,Bracelet,https://mwljewels.s3.dualstack.us-east-2.amazonaws.com/images_400px/BR31000002/,https://mwljewels.s3.dualstack.us-east-2.amazonaws.com/images_1000px/BR31000002/,,,,,,,,,
BR31000003,Bracelet,https://mwljewels.s3.dualstack.us-east-2.amazonaws.com/images_400px/BR31000003/,https://mwljewels.s3.dualstack.us-east-2.amazonaws.com/images_1000px/BR31000003/,,,,,,,,,
BR31000004,Bracelet,https://mwljewels.s3.dualstack.us-east-2.amazonaws.com/images_400px/BR31000004/,https://mwljewels.s3.dualstack.us-east-2.amazonaws.com/images_1000px/BR31000004/,,,,,,,,,
BR31000005,Bracelet,https://mwljewels.s3.dualstack.us-east-2.amazonaws.com/images_400px/BR31000005/,https://mwljewels.s3.dualstack.us-east-2.amazonaws.com/images_1000px/BR31000005/,,,,,,,,,
BR31000006,Bracelet,https://mwljewels.s3.dualstack.us-east-2.amazonaws.com/images_400px/BR31000006/,https://mwljewels.s3.dualstack.us-east-2.amazonaws.com/images_1000px/BR31000006/,,,,,,,,,
BR31000007,Bracelet,https://mwljewels.s3.dualstack.us-east-2.amazonaws.com/images_400px/BR31000007/,https://mwljewels.s3.dualstack.us-east-2.amazonaws.com/images_1000px/BR31000007/,,,,,,,,,
BR31000008,Bracelet,https://mwljewels.s3.dualstack.us-east-2.amazonaws.com/images_400px/BR31000008/,https://mwljewels.s3.dualstack.us-east-2.amazonaws.com/images_1000px/BR31000008/,,,,,,,,,
BR31000009,Bracelet,https://mwljewels.s3.dualstack.us-east-2.amazonaws.com/images_400px/BR31000009/,https://mwljewels.s3.dualstack.us-east-2.amazonaws.com/images_1000px/BR31000009/,,,,,,,,,
BR31000010,Bracelet,https://mwljewels.s3.dualstack.us-east-2.amazonaws.com/images_400px/BR31000010/,https://mwljewels.s3.dualstack.us-east-2.amazonaws.com/images_1000px/BR31000010/,,,,,,,,,
BR31000011,Bracelet,https://mwljewels.s3.dualstack.us-east-2.amazonaws.com/images_400px/BR31000011/,https://mwljewels.s3.dualstack.us-east-2.amazonaws.com/images_1000px/BR31000011/,,,,,,,,,
